# treediff.py v1.1 (2026-09-10, indented orphans covered) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python treediff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# NORMALISATION: CRLF->LF, trailing whitespace stripped per line; leading indentation KEPT; ⭐ COMMENTS ARE KEPT AND COUNT — a whitespace-only diff is NOT a row, a changed comment IS a row.
# DELIMITER: luafn.find_bodies, imported not re-implemented. Keys collapse `Class:Method` and `Class.Method`; the separator actually written is the first character of the sig columns.
# COVERAGE (v1.1): indent-0 declarations, five forms (function C:M / function C.M / function G / local function f / [local] x = function), PLUS every INDENTED declaration of those forms that lies OUTSIDE every enumerated span — table-field methods, sequence `Run = function(seq_state)` steps, file-level nested locals — keyed `name@<anchor>` and flagged INDENTED (ONE-LINE when the declaration closes itself: that row hashes its own line only, deliberately, so a neighbour's edit cannot re-hash it; the indent-0 pass keeps the delimiter's over-span untouched, checklist 135). Indented declarations INSIDE an enumerated span are covered by the outer body's hash and not listed. Orphans on the 1.1.0 side: 1050 in `hand` files, 1885 in `generated` (613 one-line); 1377 identical across the trees, 1910 rows. Total indented declarations for comparison: 8473 (4883 hand, 3590 generated). STILL NOT COVERED: every anonymous `function(` literal passed as an argument. ⛔ A function never emitted is not a function that did not change.
# FILES: changed=2437 identical=1963 added=166 removed=36 (DLC/ excluded: 151 paths). ⭐ MANIFEST RE-DERIVATION CONTROL vs chain README §0 (which counts DLC): 2437+7=2444 changed, 1963+5=1968 identical, 166+139=305 added, 36+0=36 removed — MATCHES; the 139 DLC adds are 138 `DLC/norman` + 1 `DLC/thomas`.
# FPK PARITY (EF-085, measured 2026-09-10): every `Lua/`, `CommonLua/` and `Data/` file in the archived 1.1.0 Src ships BYTE-IDENTICAL in Packs\Lua.fpk / Packs\Data.fpk — 0 divergent. ⇒ NO ROW CARRIES `FPK-DIVERGENT`, because there is nothing to flag. ⛔ That proves the bytes match, not that the game executes them (EF-078 stands).
# FUNCTIONS: 1.0.7=27762 1.1.0=30355 | IDENTICAL (counted, not listed)=23516 | SPAN-SUSPECT=441 declarations (the one-line-function trap, MEASURED — see the tool header; ⛔ NOT fixed here, a delimiter change re-hashes every SRC: pin in Code/) | MULTI=474 declarations | spans reaching EOF=567
# RENAME? is a HINT, never a verdict, and it is GUARDED: a partner needs >=4 distinct non-blank body lines and <=3 candidates. Rejected as too trivial to be evidence: 706 added rows (bodies like `end` or `return true`); rejected as ambiguous (one body, many partners): 0. Those are NOT `no match` — they are `too generic to say`.
file	function	kind	bucket	line107	line110	sig107	sig110	flags
CommonLua/ArtTest.lua	ArtTest.GetObjectClassesToPreview	removed	hand	263		.		GONEFILE
CommonLua/ArtTest.lua	ArtTest.InstallMaxExporter	removed	hand	94		.		GONEFILE
CommonLua/ArtTest.lua	ArtTest.LoadExternalEntities	removed	hand	205		.		GONEFILE
CommonLua/ArtTest.lua	ArtTest.OpenChangeProducerDialog	removed	hand	29		.		GONEFILE
CommonLua/ArtTest.lua	ArtTest.PlacePreviewObjects	removed	hand	280		.classes		GONEFILE
CommonLua/ArtTest.lua	ArtTest.SetProducer	removed	hand	37		.new_producer		GONEFILE
CommonLua/ArtTest.lua	ArtTest.SetProducer_3DSMax	removed	hand	63		.new_producer		GONEFILE
CommonLua/ArtTest.lua	ArtTest.SetUpMap	removed	hand	251		.		GONEFILE
CommonLua/ArtTest.lua	ArtTest.Start	removed	hand	179		.		GONEFILE
CommonLua/ArtTest.lua	OnMsg.ChangeMapDone	removed	hand	324		.		GONEFILE
CommonLua/ArtTest.lua	bat	removed	hand	1		.		GONEFILE
CommonLua/Billboards.lua	CollectBillboardDeps	added	hand		219		.	
CommonLua/Billboards.lua	GenerateBillboards	body+sig	hand	131	131	.specific_entity	.entities	
CommonLua/Braze.lua	BrazeSession.AsyncBrazeGetCards	body	hand	281	281	:retry_attempt	:retry_attempt	
CommonLua/Camera.lua	GetCursorPos	body	hand	785	785	.gamepad,terrain_pos	.gamepad,terrain_pos	
CommonLua/Camera.lua	SetCamera	body	hand	111	111	.ptCamera,ptCameraLookAt,camType,zoom,properties,fovX,time	.ptCamera,ptCameraLookAt,camType,zoom,properties,fovX,time	
CommonLua/Camera.lua	SetCameraFov	body	hand	166	166	.fovX	.fovX	
CommonLua/CanonizeFilename.lua	CanonizeSaveGameName	body	hand	74	74	.name	.name	
CommonLua/Classes/Achievement.lua	CanModifyAchievementProgress	body	hand	83	83	.achievement	.achievement	
CommonLua/Classes/ActionFX.lua	ActionFX.GetLoc	body	hand	1277	1352	:actor,target,action_pos,action_dir	:actor,target,action_pos,action_dir	
CommonLua/Classes/ActionFX.lua	ActionFX.GetLocObj	body+sig	hand	1245	1318	:actor,target	:actor,target,action_pos	
CommonLua/Classes/ActionFX.lua	ActionFX.IsCurrentMapOnly	added	hand		1123		:	
CommonLua/Classes/ActionFX.lua	ActionFX.TrackFX	body	hand	1058	1119	:	:	
CommonLua/Classes/ActionFX.lua	ActionFXCameraShake.GetEditorDescInfo	added	hand		2916		:	
CommonLua/Classes/ActionFX.lua	ActionFXColorization.PlayFX	body+sig	hand	3824	3938	:actor,target	:actor,target,action_pos,action_dir	
